,Course,Department,Study Hours per Week,Average Grade Received
0,AAS 10 - Intro/African-American Studies (A),AAS,3.933636363636363,B+ (3.3)
1,AAS 11 - Intro Black Diasporic Studies (A),AAS,4.15,A- (3.7)
2,AAS 170 - Legacies of Research (A),AAS,3.0549999999999997,A- (3.7)
3,AAS 190 - Sp Topics/Af-Am Studies (A),AAS,2.18,A+/A (4.0)
4,ANAR 100   - Spec Topics/Anth Archaeology   (A),ANAR,6.79,A+/A (4.0)
5,ANAR 100 - Spec Topics/Anth Archaeology   (A),ANAR,4.0,B+ (3.3)
6,ANAR 100 - Spec Topics/Anth Archaeology (A),ANAR,4.64,B+ (3.3)
7,ANAR 100 - Spec Topics/Anth Archaeology (B),ANAR,8.06,B+ (3.3)
8,ANAR 111   - Anthropological Archaeology    (A),ANAR,6.12,B (3.0)
9,ANAR 111 - Anthropological Archaeology    (A),ANAR,4.036666666666666,B+ (3.3)
10,ANAR 111 - Anthropological Archaeology (A),ANAR,4.755000000000001,B+ (3.3)
11,ANAR 114 - Environmental Hazards - Israel (A),ANAR,4.72,A- (3.7)
12,ANAR 115 - Coastal Geomorphology/Environ (A),ANAR,3.83,B (3.0)
13,ANAR 116 - Sea Level Change - Israel (A),ANAR,3.5999999999999996,B+ (3.3)
14,ANAR 125 - Weapons/Warfare/Anct N. East (A),ANAR,3.4,B+ (3.3)
15,ANAR 135 - Ancient Mediterranean Civ (A),ANAR,4.885,A- (3.7)
16,ANAR 135S - Ancient Mediterranean Civ (A),ANAR,6.5,A+/A (4.0)
17,ANAR 142 - Rise & Fall of Ancient Israel  (A),ANAR,3.88,B+ (3.3)
18,ANAR 143   - Archeology Anthr & the Bible  (A),ANAR,3.89,B+ (3.3)
19,ANAR 143 - Archeology Anthr & the Bible  (A),ANAR,3.1,B+ (3.3)
20,ANAR 143 - Archeology Anthr & the Bible (A),ANAR,4.984999999999999,B (3.0)
21,ANAR 143 - Biblical Arch- Fact or Fiction (A),ANAR,3.5866666666666673,B+ (3.3)
22,ANAR 144   - PharaohsMummies:Intro Egyptly (A),ANAR,3.96,B (3.0)
23,ANAR 144 - PharaohsMummies:Intro Egyptly (A),ANAR,4.23,B- (2.7)
24,ANAR 146 - Feeding the World (A),ANAR,5.236666666666667,B+ (3.3)
25,ANAR 153 - The Mysterious Maya            (A),ANAR,4.84,B- (2.7)
26,ANAR 153 - The Mysterious Maya (A),ANAR,4.3566666666666665,B (3.0)
27,ANAR 153 - The Mysterious Maya (B),ANAR,4.7,B (3.0)
28,ANAR 154   - The Aztecs & Their Ancestors   (A),ANAR,5.19,B- (2.7)
29,ANAR 154 - The Aztecs & Their Ancestors (A),ANAR,3.4450000000000003,B (3.0)
30,ANAR 155 - Stdy Abrd: Ancient Mesoamerica (A),ANAR,4.233333333333333,A- (3.7)
31,ANAR 155S - Stdy Abrd: Ancient Mesoamerica (A),ANAR,9.5,A+/A (4.0)
32,ANAR 156   - Archaeology of South America   (A),ANAR,5.35,B (3.0)
33,ANAR 156 - Archaeology of South America   (A),ANAR,4.880000000000001,B+ (3.3)
34,ANAR 156 - Archaeology of South America (A),ANAR,4.1625,B+ (3.3)
35,ANAR 158   - The Inca: Empire of the Andes  (A),ANAR,4.55,B+ (3.3)
36,ANAR 158 - The Inca: Empire of the Andes  (A),ANAR,3.96,B+ (3.3)
37,ANAR 158 - The Inca: Empire of the Andes (A),ANAR,3.265,B+ (3.3)
38,ANAR 159 - Societies/CaribbeanArchipelago (A),ANAR,5.95,B (3.0)
39,ANAR 164 - Maritime Archaeology (A),ANAR,7.105,B (3.0)
40,ANAR 164 - Underwater Archaeology (A),ANAR,3.42,B+ (3.3)
41,ANAR 166 - Environmental Archaeology (A),ANAR,5.125,B+ (3.3)
42,ANAR 182 - Origin/Agriculture & Sedentism (A),ANAR,4.68,B+ (3.3)
43,ANAR 184   - Political Economy/Early Empire (A),ANAR,5.3,B+ (3.3)
44,ANAR 184 - Political Economy/Early Empire (A),ANAR,3.83,A- (3.7)
45,ANBI 100   - Spec Topics/Biological Anthrop (A),ANBI,5.54,A- (3.7)
46,ANBI 100 - Spec Topics/Biological Anthrop (A),ANBI,4.122,B+ (3.3)
47,ANBI 100 - Special Topic/Biological Anth (A),ANBI,3.16,A- (3.7)
48,ANBI 103 - Darwin's Legacy                (A),ANBI,3.13,B- (2.7)
49,ANBI 111   - Adv Priciples/Human Evolution  (A),ANBI,6.22,B (3.0)
50,ANBI 111 - Adv Priciples/Human Evolution  (A),ANBI,4.433333333333334,B+ (3.3)
51,ANBI 111 - Adv Priciples/Human Evolution (A),ANBI,5.279999999999999,B+ (3.3)
52,ANBI 111 - Adv Principles/Human Evolution (A),ANBI,4.1,B+ (3.3)
53,ANBI 111 - Human Evolution (A),ANBI,4.1499999999999995,B- (2.7)
54,ANBI 116   - Evolution/Primate Reproduction (A),ANBI,5.25,B (3.0)
55,ANBI 116 - Evolution/Primate Reproduction (A),ANBI,3.885,B (3.0)
56,ANBI 116 - Hmn Sexuality in Evolutn Pers (A),ANBI,3.3775,B+ (3.3)
57,ANBI 118 - Technology on the Go (A),ANBI,2.77,A- (3.7)
58,ANBI 121 - Polynesian Navigation (A),ANBI,3.46,A- (3.7)
59,ANBI 130 - Biology of Inequality (A),ANBI,4.07,B (3.0)
60,ANBI 131 - Biology and Culture of Race (A),ANBI,4.745,B+ (3.3)
61,ANBI 132   - Conservation&Human Predicament (A),ANBI,5.4,B- (2.7)
62,ANBI 132 - Conservation&Human Predicament (A),ANBI,4.2925,B- (2.7)
63,ANBI 133 - Evolution/Ecology: Great Ape (A),ANBI,4.148000000000001,B+ (3.3)
64,ANBI 134 - Human Evolutionary Genetics (A),ANBI,4.61,B+ (3.3)
65,ANBI 135 - Genetic Anthro Lab Techniques (B),ANBI,4.38,B+ (3.3)
66,ANBI 136 - Human Comparative Neuroanatomy (A),ANBI,4.9366666666666665,B+ (3.3)
67,ANBI 139 - Evolution of Human Disease (A),ANBI,3.6525,B (3.0)
68,ANBI 140   - Evolution of Human Brain       (A),ANBI,6.79,B- (2.7)
69,ANBI 140 - Evolution of Human Brain       (A),ANBI,4.46,B- (2.7)
70,ANBI 140 - Evolution of Human Brain (A),ANBI,4.82,B (3.0)
71,ANBI 141   - The Evolution of Human Diet    (A),ANBI,5.53,B (3.0)
72,ANBI 141 - The Evolution of Human Diet    (A),ANBI,4.086666666666667,B- (2.7)
73,ANBI 141 - The Evolution of Human Diet (A),ANBI,4.043333333333333,B+ (3.3)
74,ANBI 143   - The Human Skeleton             (A),ANBI,8.055,B (3.0)
75,ANBI 143 - The Human Skeleton             (A),ANBI,5.25,B (3.0)
76,ANBI 143 - The Human Skeleton (A),ANBI,5.22375,B+ (3.3)
77,ANBI 144 - Human Anatomy (A),ANBI,4.220000000000001,B (3.0)
78,ANBI 145 - Bioarchaeology (A),ANBI,4.424,B+ (3.3)
79,ANBI 148 - Primate Behavioral Ecology     (A),ANBI,7.75,B+ (3.3)
80,ANBI 159 - Biological&Cult Persptv/Intell (A),ANBI,3.973333333333333,B+ (3.3)
81,ANBI 173 - Cognition in Animals & Humans (A),ANBI,3.24,A- (3.7)
82,ANBI 173 - How Monkeys See the World (A),ANBI,4.5,B+ (3.3)
83,ANBI 175 - Evidence for Early Ancestors (A),ANBI,4.5,B- (2.7)
84,ANBI 175 - Modeling Behavior/Early Ancest (A),ANBI,4.37,B+ (3.3)
85,ANSC 100   - Spec Top/Socio-Cultural Anthro (A),ANSC,5.5,A- (3.7)
86,ANSC 100   - Spec Top/Socio-Cultural Anthro (B),ANSC,5.25,B+ (3.3)
87,ANSC 100   - Spec Top/Socio-Cultural Anthro (C),ANSC,4.41,B (3.0)
88,ANSC 100 - Spec Top/Socio-Cultural Anthro (A),ANSC,4.196666666666666,B+ (3.3)
89,ANSC 100 - Spec Top/Socio-Cultural Anthro (B),ANSC,6.32,B+ (3.3)
90,ANSC 101 - Aging: Cult/Health Hum Dev (A),ANSC,3.5700000000000003,A- (3.7)
91,ANSC 101 - Aging: Culture&Health/Hum Dev (A),ANSC,2.7725,B+ (3.3)
92,ANSC 101A - KoreanWaveMedia&CulturalChange (A),ANSC,3.36,A- (3.7)
93,ANSC 102 - The Anthropology of Work (A),ANSC,5.38,B+ (3.3)
94,ANSC 103   - Photography & Visual Culture   (A),ANSC,5.26,B+ (3.3)
95,ANSC 103 - Photography & Visual Culture (A),ANSC,3.93,B+ (3.3)
96,ANSC 104 - Anthropology of Fantasy (A),ANSC,6.85,B+ (3.3)
97,ANSC 104 - The US-Mexico Border (A),ANSC,5.47,C+ (2.3)
98,ANSC 105 - Global Health & Inequality (A),ANSC,6.0,B+ (3.3)
99,ANSC 105 - Global Health & Inequality (B),ANSC,3.5,A- (3.7)
100,ANSC 105 - Global Health and Inequality (A),ANSC,4.0275,A- (3.7)
101,ANSC 105GS - Global Health and Inequality (A),ANSC,4.5,A- (3.7)
102,ANSC 106 - GH: Indig Med in Latin Amer (A),ANSC,4.68,A- (3.7)
103,ANSC 106 - GH: Indig Med in Latin America (A),ANSC,3.118,B+ (3.3)
104,ANSC 107   - Meaning/Symbols in Social Life (A),ANSC,4.67,B+ (3.3)
105,ANSC 107 - Meaning/Symbols in Social Life (A),ANSC,4.5,B+ (3.3)
106,ANSC 108   - Tourism and Global Culture     (A),ANSC,4.9,B (3.0)
107,ANSC 108 - Tourism and Global Culture     (A),ANSC,3.06,B+ (3.3)
108,ANSC 108 - Tourism and Global Culture (A),ANSC,3.92,A- (3.7)
109,ANSC 109   - Jokes Monsters and Strangers (A),ANSC,4.38,B+ (3.3)
110,ANSC 109 - Jokes Monsters and Strangers (A),ANSC,4.025,B (3.0)
111,ANSC 110   - Societies & Cultures/Caribbean (A),ANSC,7.12,B+ (3.3)
112,ANSC 113 - Lang Style & Youth Identities (A),ANSC,3.97,B+ (3.3)
113,ANSC 114 - Food Cultures of South Asia (A),ANSC,2.79,B+ (3.3)
114,ANSC 118   - Language and Culture           (B),ANSC,6.5,B- (2.7)
115,ANSC 118 - Language and Culture           (A),ANSC,5.0,B (3.0)
116,ANSC 118 - Language and Culture (A),ANSC,5.344444444444445,B+ (3.3)
117,ANSC 119   - Gesture Communication & Body  (A),ANSC,9.64,B- (2.7)
118,ANSC 119 - Gesture Communication & Body  (A),ANSC,6.145,B- (2.7)
119,ANSC 120   - Anthropology of Religion       (A),ANSC,5.02,B+ (3.3)
120,ANSC 120 - Anthropology of Religion       (A),ANSC,5.390000000000001,B+ (3.3)
121,ANSC 120 - Anthropology of Religion (A),ANSC,4.533333333333333,B+ (3.3)
122,ANSC 120 - Religion and Culture (A),ANSC,4.6466666666666665,B+ (3.3)
123,ANSC 121   - Psychological Anthropology     (A),ANSC,6.72,B+ (3.3)
124,ANSC 121 - Psychological Anthropology     (A),ANSC,4.59,B+ (3.3)
125,ANSC 121 - Psychological Anthropology (A),ANSC,4.496666666666667,B+ (3.3)
126,ANSC 122   - Language in Society            (A),ANSC,5.2325,B (3.0)
127,ANSC 122 - Language in Society            (A),ANSC,3.986666666666667,B- (2.7)
128,ANSC 122 - Language in Society (A),ANSC,5.01,B (3.0)
129,ANSC 123 - Political Anthropology (A),ANSC,4.9,B+ (3.3)
130,ANSC 124   - Cultural Anthropology          (A),ANSC,7.66,B+ (3.3)
131,ANSC 124 - Cultural Anthropology          (A),ANSC,4.45,B+ (3.3)
132,ANSC 124 - Cultural Anthropology (A),ANSC,4.514285714285714,B+ (3.3)
133,ANSC 125   - Gender Sexuality & Society   (A),ANSC,4.94,B+ (3.3)
134,ANSC 125 - Gender Sexuality & Society   (A),ANSC,5.366666666666667,B+ (3.3)
135,ANSC 125 - Gender Sexuality & Society (A),ANSC,4.426363636363636,B+ (3.3)
136,ANSC 125GS - Gender Sexuality & Society (A),ANSC,4.35,B+ (3.3)
137,ANSC 126 - Childhood and Adolescence      (A),ANSC,4.65,B+ (3.3)
138,ANSC 126 - Childhood and Adolescence (A),ANSC,4.63,A- (3.7)
139,ANSC 127 - DiscourseInteractn&SocialLife (A),ANSC,4.37,B (3.0)
140,ANSC 128 - Culture and Emotion            (A),ANSC,5.4,B (3.0)
141,ANSC 129 - Meaning and Healing            (A),ANSC,5.69,B+ (3.3)
142,ANSC 129 - Meaning and Healing (A),ANSC,6.03,B+ (3.3)
143,ANSC 131 - Language Law Social Justice (A),ANSC,5.165,B+ (3.3)
144,ANSC 133 - Peoples&Cultures/Middle East (A),ANSC,3.27,B+ (3.3)
145,ANSC 134 - Global Islam (A),ANSC,3.83,A- (3.7)
146,ANSC 134 - Politics/Environmental Change (A),ANSC,5.36,A- (3.7)
147,ANSC 135 - Indigenous Peoples/Latin Amer. (A),ANSC,5.5600000000000005,B+ (3.3)
148,ANSC 136 - Traditional Chinese Society    (A),ANSC,3.79,B+ (3.3)
149,ANSC 136 - Traditional Chinese Society (A),ANSC,3.8675,B (3.0)
150,ANSC 137   - Chinese Popular Religion       (A),ANSC,5.79,B (3.0)
151,ANSC 137 - Chinese Popular Religion       (A),ANSC,4.38,B (3.0)
152,ANSC 137 - Chinese Popular Religion (A),ANSC,4.428571428571429,B (3.0)
153,ANSC 139 - Freud Psychoanalysis Culture (A),ANSC,4.08,B- (2.7)
154,ANSC 139 - Native American Health (A),ANSC,3.783333333333333,B+ (3.3)
155,ANSC 140   - Human Rights II: Contemp Issue (A),ANSC,3.64,B+ (3.3)
156,ANSC 140   - Human Rights II: Contemp Issue (B),ANSC,5.665,B+ (3.3)
157,ANSC 140 - Human Rights II: Contemp Issue (A),ANSC,5.282727272727272,B+ (3.3)
158,ANSC 141 - Language Politics & Identity (A),ANSC,2.65,A- (3.7)
159,ANSC 142 - Anthropology of Latin America  (A),ANSC,6.15,B- (2.7)
160,ANSC 142 - Anthropology of Latin America (A),ANSC,5.0875,A- (3.7)
161,ANSC 143 - Mental Health/Global Hlth Prty (A),ANSC,3.77,B (3.0)
162,ANSC 144   - Immigrant and Refugee Health   (A),ANSC,5.99,A- (3.7)
163,ANSC 144 - Immigrant and Refugee Health (A),ANSC,4.4479999999999995,B+ (3.3)
164,ANSC 145 - Indigenous People/Nrth America (A),ANSC,5.18,B (3.0)
165,ANSC 146 - Global Health Persp/HIV (A),ANSC,3.6533333333333338,A- (3.7)
166,ANSC 147 - Global Health and Environment (A),ANSC,4.695,B+ (3.3)
167,ANSC 147 - Global Health/ Environment (A),ANSC,2.955,A- (3.7)
168,ANSC 148   - Global Health/Cultrl Diversity (A),ANSC,5.895,B+ (3.3)
169,ANSC 148 - Global Health&Cultrl Diversity (A),ANSC,4.453076923076923,B+ (3.3)
170,ANSC 148 - Global Health/Cultrl Diversity (A),ANSC,4.694444444444445,B+ (3.3)
171,ANSC 149 - Conflict Health & Inequality (A),ANSC,4.404999999999999,A- (3.7)
172,ANSC 150 - Culture and Mental Health (A),ANSC,4.597142857142857,B+ (3.3)
173,ANSC 155 - Humanitarian Aid (A),ANSC,4.0875,A- (3.7)
174,ANSC 156 - Mad Films (A),ANSC,3.766666666666667,B+ (3.3)
175,ANSC 162   - Language Identity & Community (A),ANSC,4.640000000000001,B (3.0)
176,ANSC 162 - Language Identity & Community (A),ANSC,3.9949999999999997,B (3.0)
177,ANSC 164 - Intro to Medical Anthropology (A),ANSC,5.476,B (3.0)
178,ANSC 164 - The Anthropology of Medicine   (A),ANSC,4.21,B+ (3.3)
179,ANSC 165 - Contemporary South Asia        (A),ANSC,3.56,B+ (3.3)
180,ANSC 165 - Contemporary South Asia (A),ANSC,3.4699999999999998,A- (3.7)
181,ANSC 166   - Film and Culture in Asia       (A),ANSC,5.055,A- (3.7)
182,ANSC 166 - Film and Culture in Asia (A),ANSC,4.205555555555556,A- (3.7)
183,ANSC 167 - Rituals and Celebrations       (A),ANSC,4.85,B (3.0)
184,ANSC 168 - The Human Condition            (A),ANSC,4.79,B+ (3.3)
185,ANSC 168 - The Human Condition (A),ANSC,4.18,A- (3.7)
186,ANSC 170 - Modernity and Human Experience (A),ANSC,3.56,B+ (3.3)
187,ANSC 174 - Sex / Money: the Anth/Sex Work (A),ANSC,3.57,B+ (3.3)
188,ANSC 175 - Anthropology of Capitalism (A),ANSC,3.776666666666667,A- (3.7)
189,ANSC 175 - Beyond Capitalism (A),ANSC,3.6399999999999997,A- (3.7)
190,ANSC 178 - Brain Mind Culture & History (A),ANSC,4.32,A- (3.7)
191,ANSC 180 - Capitalism & Gender (A),ANSC,3.9133333333333336,A- (3.7)
192,ANSC 180 - Labor's Relations (A),ANSC,5.645,B+ (3.3)
193,ANSC 181 - Animal Affairs (A),ANSC,5.86,B+ (3.3)
194,ANSC 184 - Food Culture and Society (A),ANSC,4.923333333333333,B+ (3.3)
195,ANSC 185 - #BlackLivesMatter (A),ANSC,5.42,B+ (3.3)
196,ANSC 186 - Gender and Incarceration (A),ANSC,4.220000000000001,B+ (3.3)
197,ANSC 188 - Cultures of Healing (A),ANSC,4.595,A- (3.7)
198,ANSC 189 - Anthropology of End of World (A),ANSC,5.63,B+ (3.3)
199,ANSC 190 - Yoga Practices (A),ANSC,3.8875,B+ (3.3)
200,ANSC 190GS - Medicine&Healing in South Asia (A),ANSC,4.21,A- (3.7)
201,ANTH 1   - Introduction to Culture        (A),ANTH,5.57,B+ (3.3)
202,ANTH 1   - Introduction to Culture        (B),ANTH,5.33,B- (2.7)
203,ANTH 1 - Introduction to Culture        (A),ANTH,3.62,B (3.0)
204,ANTH 1 - Introduction to Culture (A),ANTH,4.089333333333333,B+ (3.3)
205,ANTH 10 - Climate Justice (A),ANTH,3.1666666666666665,B+ (3.3)
206,ANTH 10 - Climate Justice (B),ANTH,3.6,B+ (3.3)
207,ANTH 101   - Foundations/Social Complexity  (A),ANTH,5.63,B+ (3.3)
208,ANTH 101 - Foundations/Social Complexity  (A),ANTH,4.575,B (3.0)
209,ANTH 101 - Foundations/Social Complexity (A),ANTH,4.256428571428571,B+ (3.3)
210,ANTH 101 - Foundations/Social Complexity (B),ANTH,4.81,B+ (3.3)
211,ANTH 102   - Humans Are Cultural Animals    (A),ANTH,5.51,B- (2.7)
212,ANTH 102 - Humans Are Cultural Animals    (A),ANTH,5.3999999999999995,B (3.0)
213,ANTH 102 - Humans Are Cultural Animals (A),ANTH,3.820625,B+ (3.3)
214,ANTH 103   - Social Anthropology            (A),ANTH,5.7,B+ (3.3)
215,ANTH 103   - Social Anthropology            (B),ANTH,5.1,B+ (3.3)
216,ANTH 103 - Social Anthropology            (A),ANTH,4.736666666666667,B (3.0)
217,ANTH 103 - Social Anthropology (A),ANTH,4.603333333333333,B+ (3.3)
218,ANTH 103 - Sociocultural Anthropology (A),ANTH,4.649,B+ (3.3)
219,ANTH 105 - Climate Change Race& Inequal (A),ANTH,4.871666666666667,B+ (3.3)
220,ANTH 106 - Climate and Civilization (A),ANTH,4.6866666666666665,B+ (3.3)
221,ANTH 107 - Dsgn:DisastersEmergWeather (A),ANTH,5.3,A- (3.7)
222,ANTH 107 - Dsgn:DisastersEmergWeather (B),ANTH,4.86,B+ (3.3)
223,ANTH 108 - IndigPpls Develop& ClimChng (A),ANTH,6.2749999999999995,A- (3.7)
224,ANTH 109 - ClimChngCultHertage&Vulnrabl (A),ANTH,4.21,A- (3.7)
225,ANTH 111 - Religion&Ecology/Anthropocene (A),ANTH,4.28,B+ (3.3)
226,ANTH 112 - Regenerative Science/Ecology (A),ANTH,4.316666666666666,B+ (3.3)
227,ANTH 2   - Human Origins                  (A),ANTH,5.995,B (3.0)
228,ANTH 2 - Human Origins                  (A),ANTH,4.016666666666667,C+ (2.3)
229,ANTH 2 - Human Origins (A),ANTH,4.158095238095238,B (3.0)
230,ANTH 21   - Race and Racisms               (A),ANTH,6.68,B- (2.7)
231,ANTH 21 - Race and Racisms (A),ANTH,4.008378378378379,B+ (3.3)
232,ANTH 21 - Race and Racisms (B),ANTH,3.9099999999999997,A- (3.7)
233,ANTH 23   - Debating Multiculturalism      (A),ANTH,6.355,B- (2.7)
234,ANTH 23 - Debating Multiculturalism      (A),ANTH,3.32,B+ (3.3)
235,ANTH 23 - Debating Multiculturalism (A),ANTH,4.114047619047619,B+ (3.3)
236,ANTH 23 - Debating Multiculturalism (B),ANTH,3.446923076923077,B+ (3.3)
237,ANTH 23 - Debating Multiculturalism (C),ANTH,3.64,B+ (3.3)
238,ANTH 24 - Mapping Capitalism (A),ANTH,2.5,A- (3.7)
239,ANTH 3   - World Prehistory               (A),ANTH,3.58,B+ (3.3)
240,ANTH 3   - World Prehistory               (B),ANTH,4.44,B (3.0)
241,ANTH 3 - Global Archaeology (A),ANTH,3.0822222222222226,B+ (3.3)
242,ANTH 3 - World Prehistory               (A),ANTH,3.17,B (3.0)
243,ANTH 3 - World Prehistory               (B),ANTH,2.81,B+ (3.3)
244,ANTH 3 - World Prehistory (A),ANTH,2.7725,B+ (3.3)
245,ANTH 4 - Words/Worlds/Intro to AN/Lang (A),ANTH,3.615,B (3.0)
246,ANTH 42   - Study of Primates in Nature    (A),ANTH,4.38,B+ (3.3)
247,ANTH 42 - Study of Primates in Nature    (A),ANTH,4.085,B (3.0)
248,ANTH 42 - Study of Primates in Nature (A),ANTH,4.06,B (3.0)
249,ANTH 43 - Intro/Bio & Culture of Race (A),ANTH,4.665,B (3.0)
250,ANTH 44 - New Media in the Korean Wave (A),ANTH,1.62,A- (3.7)
251,ANTH 5 - Human Machine:Skeleton Within (A),ANTH,3.75,B+ (3.3)
252,ANTH 5 - Intro Human Skeleton (A),ANTH,4.6,B- (2.7)
253,AWP 1 - Analytical Writing (0),AWP,7.502244897959184,C+ (2.3)
254,AWP 10 - Lang&Learning in American Acad (0),AWP,5.140434782608696,B+ (3.3)
255,AWP 2A - Analytical Writing A (0),AWP,6.865714285714286,B- (2.7)
256,AWP 2B - Analytical Writing B (0),AWP,7.088474576271187,C+ (2.3)
257,AWP 3 - Analytical Writing (0),AWP,6.695,B- (2.7)
258,AWP 4B - Analytical Writing B (0),AWP,6.747,B- (2.7)
259,BENG 100   - Intro to Bioengineering Design (A),BENG,5.09,B (3.0)
260,BENG 100   - Introduction to Bioengineering (A),BENG,5.109999999999999,B (3.0)
261,BENG 100 - Intro to Bioengineering Design (A),BENG,10.036666666666667,B (3.0)
262,BENG 100 - Intro to Prob & Stats for BENG (A),BENG,5.89,B+ (3.3)
263,BENG 100 - Introduction to Bioengineering (A),BENG,5.558333333333334,B- (2.7)
264,BENG 100 - Stat Reasoning Bioeng Applns (A),BENG,8.022,B- (2.7)
265,BENG 101   - Foundations/Biomedical Imaging (A),BENG,6.0600000000000005,B+ (3.3)
266,BENG 101 - Foundations/Biomedical Imaging (A),BENG,5.061538461538461,B (3.0)
267,BENG 102 - Moleculr Components Living Sys (A),BENG,5.56875,B+ (3.3)
268,BENG 103B  - Bioengineering Mass Transfer   (A),BENG,8.764285714285714,B (3.0)
269,BENG 103B - Bioengineering Mass Transfer (A),BENG,9.183846153846154,B (3.0)
270,BENG 104GS - Physiology of Human Endur/Exer (A),BENG,7.45,B+ (3.3)
271,BENG 105GS - Performnce Sci/Austral Inst Sp (A),BENG,6.23,B (3.0)
272,BENG 109   - BENG Statics & Dynamics        (A),BENG,6.109999999999999,B- (2.7)
273,BENG 109 - BENG Statics & Dynamics        (A),BENG,6.576666666666667,B (3.0)
274,BENG 109 - BENG Statics & Dynamics (A),BENG,6.293333333333334,B (3.0)
275,BENG 110   - Continuum Mechanics            (A),BENG,8.09,B (3.0)
276,BENG 110 - Continuum Mechanics            (A),BENG,8.498000000000001,B- (2.7)
277,BENG 110 - Continuum Mechanics (A),BENG,8.764999999999999,B (3.0)
278,BENG 110 - Foundation of Biomechanics (A),BENG,6.47,B+ (3.3)
279,BENG 110 - Foundation of Biomechanics (B),BENG,8.04,B (3.0)
280,BENG 110 - Muskoloskeletal Biomechanics (A),BENG,7.029999999999999,B (3.0)
281,BENG 110 - Muskoloskeletal Biomechanics (B),BENG,6.31,B (3.0)
282,BENG 112A  - Biomechanics                   (A),BENG,9.4125,B (3.0)
283,BENG 112A  - Biomechanics I                 (A),BENG,8.67,B+ (3.3)
284,BENG 112A - Biomechanics I (A),BENG,4.875,B+ (3.3)
285,BENG 112A - Soft Tissue Biomechanics (A),BENG,6.739999999999999,B- (2.7)
286,BENG 112A - Soft Tissue Biomechanics (B),BENG,5.92,B (3.0)
287,BENG 112A - Tissue Biomechanics (A),BENG,5.9675,B+ (3.3)
288,BENG 112B  - Biomechanics                   (A),BENG,8.635,B (3.0)
289,BENG 112B  - Biomechanics II                (A),BENG,8.82,B- (2.7)
290,BENG 112B - Biomechanics II (A),BENG,7.346666666666667,B (3.0)
291,BENG 112B - Fluid and Cell Biomechanics (A),BENG,6.44625,B+ (3.3)
292,BENG 119A  - Design Develop.in Biomechanics (A),BENG,8.5,B+ (3.3)
293,BENG 119A - Design Develop.in Biomechanics (A),BENG,4.464,A- (3.7)
294,BENG 119B  - Design Implmntatn Biomechanics (A),BENG,10.1,B+ (3.3)
295,BENG 119B - Design Implmntatn Biomechanics (A),BENG,7.446000000000001,A- (3.7)
296,BENG 120 - Org Chem-Structural & Design (A),BENG,6.792142857142857,B+ (3.3)
297,BENG 122A  - Biosystems and Control         (A),BENG,7.796250000000001,B (3.0)
298,BENG 122A - Biosystems and Control (A),BENG,6.537000000000001,B+ (3.3)
299,BENG 122A - Biosystems and Control (B),BENG,6.5200000000000005,B+ (3.3)
300,BENG 123   - Systems Biology & Bioenginring (A),BENG,11.545,B (3.0)
301,BENG 123 - Dynamic Simulatn in Bioeng (A),BENG,11.065,B (3.0)
302,BENG 123 - Systems Biology & Bioenginring (A),BENG,11.466666666666667,B- (2.7)
303,BENG 125   - Modeling & Computatio/Bioengr  (A),BENG,9.74,B (3.0)
304,BENG 125 - Modeling & Computatio/Bioengr  (A),BENG,4.68,B+ (3.3)
305,BENG 125 - Modeling & Computatio/Bioengr (A),BENG,6.357333333333333,B+ (3.3)
306,BENG 126A - Design Dev Bioinformatics BENG (A),BENG,3.99,A- (3.7)
307,BENG 126B - Design Implmnt Informatcs BENG (A),BENG,6.8825,A- (3.7)
308,BENG 127A - Design Dev.Molec. Systems BENG (A),BENG,6.68,A- (3.7)
309,BENG 127B - Design Implmnt Molec.Syst BENG (A),BENG,7.61,A- (3.7)
310,BENG 128A - Design Dev.Genetc Circuit BENG (A),BENG,6.5,A- (3.7)
311,BENG 128B - Design Implmnt Genetic Circuit (A),BENG,9.75,A+/A (4.0)
312,BENG 129A - Design Develp.Cell System BENG (A),BENG,5.83,A- (3.7)
313,BENG 129B  - Design Implmnt Cell Systm BENG (A),BENG,7.17,A- (3.7)
314,BENG 129B - Design Implmnt Cell Systm BENG (A),BENG,4.9,A- (3.7)
315,BENG 130   - Molecular Physical Chemistry   (A),BENG,7.41,B- (2.7)
316,BENG 130 - Biotech Thermodynamics & Kinet (A),BENG,6.72,B+ (3.3)
317,BENG 130 - Molecular Physical Chemistry   (A),BENG,6.2299999999999995,B- (2.7)
318,BENG 130 - Molecular Physical Chemistry (A),BENG,7.535,B+ (3.3)
319,BENG 130 - Molecular Physical Chemistry (B),BENG,5.98,B+ (3.3)
320,BENG 133 - Numerical Analys-Computatn Eng (A),BENG,7.384285714285714,B+ (3.3)
321,BENG 134 - Measurements/Stats/Probability (A),BENG,9.925,B+ (3.3)
322,BENG 135 - Biomedical Signals & Systems (A),BENG,7.3,B+ (3.3)
323,BENG 139A  - Design Develpmt Molecular BENG (A),BENG,9.135,B+ (3.3)
324,BENG 139B  - Design Implmntn Molecular BENG (A),BENG,12.21,A- (3.7)
325,BENG 140A  - Bioengineering Physiology      (A),BENG,6.048571428571429,B- (2.7)
326,BENG 140A - Bioengineering Physiology (A),BENG,6.79909090909091,B+ (3.3)
327,BENG 140A - Bioengineering Physiology (C),BENG,6.06,B+ (3.3)
